2025-12-08 15:21:42 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:21:50 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:21:52 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:21:56 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:22:02 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:22:06 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:22:10 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:22:14 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:22:18 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:22:20 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:22:32 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:22:34 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:22:38 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:22:46 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:22:48 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:22:58 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:23:02 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:23:16 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:23:24 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:23:26 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:23:34 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:23:36 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:23:42 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:23:46 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:23:50 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:23:54 | BUY | Price: 0.28640000 | Strategy: Momentum
2025-12-08 15:23:56 | SELL | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:24:00 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:24:06 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:24:08 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:24:22 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:24:24 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:24:28 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:24:30 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:24:32 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:24:34 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:24:38 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:24:40 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:24:44 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:24:48 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:24:50 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:24:58 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:25:02 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:25:14 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:25:20 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:25:22 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:25:26 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:25:34 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:25:40 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:25:42 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:25:46 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:25:50 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:25:54 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:25:56 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:26:00 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:26:02 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:26:08 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:26:14 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:26:26 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:26:38 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:26:40 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:26:46 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:26:58 | BUY | Price: 0.28630000 | Strategy: Momentum
2025-12-08 15:27:00 | SELL | Price: 0.28620000 | Strategy: Momentum
2025-12-08 15:27:02 | BUY | Price: 0.28630000 | Strategy: Momentum
